system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
29,-0.3103638413627154,0.1894582542574925,-0.26948741835341555,2018-06-01,152,6,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.3812620316416783,0.35969242606853763,-0.3988403966203886,2018-10-01,274,10,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.06740011858430035,0.14094242260831902,-0.13276929302056328,2018-11-01,305,11,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.2506835854864914,0.21759246998126,-0.2583632212341207,2018-12-01,335,12,5,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-0.20059439265061915,0.13454022801227664,-0.17573784577001372,2019-01-01,1,1,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.2114550056523559,0.19050000189319855,-0.21404589731395027,2019-02-01,32,2,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-0.2844762555399668,0.24971852882278434,-0.2789062197987753,2019-03-01,60,3,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.28706083593588594,0.2576946134965464,-0.29387097940961643,2019-04-01,91,4,5,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-0.26792534844452637,0.2255804440763927,-0.26018608487111783,2019-05-01,121,5,4,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-0.2602869373777661,0.17997036188290952,-0.2206540941301815,2019-06-01,152,6,5,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
