system:index,NDVI,date,month,sensor,site_key,site_label,source,year,.geo
1_1_1_26,0.13104823191789486,2018-03-15,3,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_27,0.2597943914473684,2018-04-15,4,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_28,0.4230307172916077,2018-05-15,5,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_29,0.6374103245147485,2018-06-15,6,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_30,0.34226571428571423,2018-07-15,7,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_31,0.4866127721335268,2018-08-15,8,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_32,0.5246339854843799,2018-09-15,9,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_33,0.3441574826084576,2018-10-15,10,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_34,0.15722808936017008,2018-11-15,11,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_35,0.22312679195709534,2018-12-15,12,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_39,0.0020975325570591454,2019-04-15,4,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_40,0.2653216370946305,2019-05-15,5,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_41,0.26751053197799257,2019-06-15,6,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_42,0.5332135594934995,2019-07-15,7,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_43,0.7015917539267016,2019-08-15,8,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_44,0.4986334445690888,2019-09-15,9,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_45,0.34251629143096085,2019-10-15,10,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_46,0.28296358670259747,2019-11-15,11,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
