system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
58,-0.5612578995766925,0.8464180808211268,-0.7415991397723662,2020-11-01,306,11,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,-0.5831388819326142,0.839177491750635,-0.7523279556681675,2020-12-01,336,12,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,-0.5306496479590556,0.7724876644339004,-0.6916798316620096,2021-01-01,1,1,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,-0.5270452812629535,0.713344381106722,-0.6393112446662341,2021-02-01,32,2,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,-0.33219356767326025,0.492560010554785,-0.42351982306441993,2021-03-01,60,3,5,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,-0.39846404412969927,0.6559196552373474,-0.5633859304165291,2021-04-01,91,4,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,-0.2660294647679436,0.40042090571923233,-0.3391794092204825,2021-06-01,152,6,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,-0.5806773251169495,0.8795842583777885,-0.750187892338936,2021-09-01,244,9,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,-0.5274313208508834,0.8270048966988653,-0.7161257797870604,2021-10-01,274,10,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,-0.5456005479422825,0.835312807258639,-0.7343605261884136,2021-11-01,305,11,5,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,-0.5537353090739954,0.813058198395635,-0.7220755230321052,2021-12-01,335,12,6,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,-0.5040634921247843,0.7357226384689307,-0.6545258247607001,2022-01-01,1,1,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,-0.5222718352360304,0.7087109289701922,-0.6434896598263252,2022-02-01,32,2,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,-0.4703698871111322,0.6353188207934954,-0.580455526427353,2022-03-01,60,3,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.029322553739750665,0.4108082038816897,-0.2716290976577892,2022-04-01,91,4,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,-0.6050497914680614,0.8811940542271625,-0.7761702133202424,2022-10-01,274,10,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,-0.5866116375366021,0.8543961654078704,-0.7585539510389125,2022-11-01,305,11,5,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,-0.5434047152219469,0.8105164814593122,-0.7223154301154383,2022-12-01,335,12,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,-0.44901088230883673,0.6775118695392411,-0.6060257606152974,2023-01-01,1,1,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,-0.3142421002208892,0.51934116609254,-0.45474906732321035,2023-02-01,32,2,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,-0.3171788023206988,0.5347098650879701,-0.44898529961110484,2023-03-01,60,3,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,-0.427157712417811,0.6827298163634041,-0.5923944941037502,2023-04-01,91,4,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,-0.4488185196445252,0.7209886682401223,-0.6230997447172912,2023-05-01,121,5,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,-0.5648271001409583,0.8525736543672771,-0.7346414577403516,2023-09-01,244,9,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,-0.5552601350164089,0.845634377787006,-0.7378254003658852,2023-10-01,274,10,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,-0.5729541709523637,0.8561972238076384,-0.7577449714828285,2023-11-01,305,11,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,-0.5885834016233914,0.8326831108371175,-0.7459310557054417,2023-12-01,335,12,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,-0.5330995035087446,0.7647073757376017,-0.6872198353044453,2024-01-01,1,1,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,-0.39011346551707643,0.5739748235093359,-0.5132197306581032,2024-02-01,32,2,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,-0.4046197874443272,0.5462097229045223,-0.4912931316097471,2024-03-01,61,3,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,-0.32728199018917925,0.5731795905847131,-0.4885377945983602,2024-04-01,92,4,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,-0.5209124577624741,0.8144094165956568,-0.678576262997039,2024-05-01,122,5,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,-0.5697401307402947,0.8599955909078698,-0.7441118527545498,2024-09-01,245,9,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,-0.6060554189585421,0.8756631563640568,-0.7693512285702996,2024-10-01,275,10,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,-0.5953902368725741,0.8550645639104353,-0.7611740326848339,2024-11-01,306,11,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,-0.5407975399708305,0.8052786537174887,-0.7194790407478344,2024-12-01,336,12,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,-0.5343725485563149,0.7764104080842844,-0.6949491461770194,2025-01-01,1,1,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,-0.3705329781658695,0.5761040407484975,-0.5157256693863904,2025-02-01,32,2,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,-0.4969468651234916,0.6806470914918499,-0.6180432703162537,2025-03-01,60,3,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,-0.3625860126229095,0.5421397101166867,-0.4850319571228729,2025-04-01,91,4,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,-0.6074964577165682,0.8930505553807481,-0.7713164467483371,2025-09-01,244,9,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,-0.603072548670298,0.8876752723206077,-0.7771898045442743,2025-10-01,274,10,5,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,-0.5985019302140715,0.8654366050798862,-0.7685995522664969,2025-11-01,305,11,7,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,-0.5733700298450656,0.8431648011242586,-0.7546439439292305,2025-12-01,335,12,6,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
