system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
43,-0.47897340547057227,0.8204627646009629,-0.6849172129108729,2019-08-01,213,8,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,-0.36742346567221024,0.7174504512160466,-0.6088257992325732,2019-10-01,274,10,8,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,-0.47497212274744766,0.7629178869169655,-0.677478258927703,2019-11-01,305,11,6,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,-0.435331754316706,0.713846644972698,-0.6368201990562373,2019-12-01,335,12,9,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,-0.507685048488067,0.6824270330880352,-0.6282747661451179,2020-01-01,1,1,5,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,-0.4983940004806689,0.5664536722399695,-0.5416448373617341,2020-02-01,32,2,7,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,-0.48011450279837925,0.5382892939446103,-0.5138262852631195,2020-03-01,61,3,6,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,-0.5203775608660945,0.5453588834638831,-0.5465170079107818,2020-04-01,92,4,5,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,-0.4967660587137584,0.5913821856408761,-0.5557268618694937,2020-05-01,122,5,6,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,-0.41365252850659545,0.6111366232165967,-0.521597809361048,2020-06-01,153,6,6,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
