system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
34,-0.36171907151835037,0.26892976792070356,-0.34072600865905633,2018-11-01,305,11,6,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.3222835058414429,0.23983298862263566,-0.30620914322492726,2018-12-01,335,12,10,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-0.19897908264979136,0.12986115018151412,-0.14565927592843267,2019-01-01,1,1,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.3041651214084561,0.21893412398185663,-0.27164085408675653,2019-02-01,32,2,5,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-0.3375206856011513,0.24605023414093233,-0.3115539555328514,2019-03-01,60,3,8,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.29932006554406426,0.1979558993855001,-0.26067649258178976,2019-04-01,91,4,9,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-0.2943592599758867,0.20335820897869758,-0.2629511625872907,2019-05-01,121,5,9,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-0.2970753697059087,0.20522541129247976,-0.26300349291306535,2019-06-01,152,6,7,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,-0.26007167237718826,0.21142240669655726,-0.24773174939657064,2019-07-01,182,7,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-0.3239171011786029,0.27933838680793766,-0.3116012118268676,2019-08-01,213,8,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
