Date,NDVI
"Jan 24, 2025",0.535
"Jan 29, 2025",0.363
"Feb 3, 2025",0.576
"Feb 8, 2025",0.506
"Feb 13, 2025",0.525
"Feb 18, 2025",0.469
"Feb 23, 2025",0.481
"Feb 28, 2025",0.537
"Mar 5, 2025",0.432
"Mar 15, 2025",0.463
"Mar 20, 2025",0.463
"Mar 25, 2025",0.393
"Mar 30, 2025",0.268
